PAZANGUS STUDENTAI
Vardas              Pavarde             Galutinis-vidurkis  
vardas83757         pavarde83757        5.40                
vardas63796         pavarde63796        5.40                
vardas63806         pavarde63806        5.40                
vardas63807         pavarde63807        5.40                
vardas63797         pavarde63797        5.40                
vardas63801         pavarde63801        5.40                
vardas63798         pavarde63798        5.40                
vardas63799         pavarde63799        5.40                
vardas63800         pavarde63800        5.40                
vardas894           pavarde894          5.40                
vardas63805         pavarde63805        5.40                
vardas63804         pavarde63804        5.40                
vardas63803         pavarde63803        5.40                
vardas63802         pavarde63802        5.40                
vardas897           pavarde897          5.40                
vardas83758         pavarde83758        5.40                
vardas83759         pavarde83759        5.40                
vardas83756         pavarde83756        5.40                
vardas83755         pavarde83755        5.40                
vardas83754         pavarde83754        5.40                
vardas83760         pavarde83760        5.40                
vardas83761         pavarde83761        5.40                
vardas83762         pavarde83762        5.40                
vardas83763         pavarde83763        5.40                
vardas83764         pavarde83764        5.40                
vardas83765         pavarde83765        5.40                
vardas899           pavarde899          5.40                
vardas898           pavarde898          5.40                
vardas81270         pavarde81270        5.40                
vardas896           pavarde896          5.40                
vardas895           pavarde895          5.40                
vardas272           pavarde272          5.40                
vardas271           pavarde271          5.40                
vardas270           pavarde270          5.40                
vardas83753         pavarde83753        5.40                
vardas63811         pavarde63811        5.40                
vardas63810         pavarde63810        5.40                
vardas63809         pavarde63809        5.40                
vardas80121         pavarde80121        5.40                
vardas80120         pavarde80120        5.40                
vardas63808         pavarde63808        5.40                
vardas81271         pavarde81271        5.40                
vardas75791         pavarde75791        5.40                
vardas75776         pavarde75776        5.40                
vardas75777         pavarde75777        5.40                
vardas75778         pavarde75778        5.40                
vardas75779         pavarde75779        5.40                
vardas75780         pavarde75780        5.40                
vardas75781         pavarde75781        5.40                
vardas75782         pavarde75782        5.40                
vardas75783         pavarde75783        5.40                
vardas75784         pavarde75784        5.40                
vardas75785         pavarde75785        5.40                
vardas75786         pavarde75786        5.40                
vardas75787         pavarde75787        5.40                
vardas75788         pavarde75788        5.40                
vardas75789         pavarde75789        5.40                
vardas75790         pavarde75790        5.40                
vardas63787         pavarde63787        5.40                
vardas75792         pavarde75792        5.40                
vardas75793         pavarde75793        5.40                
vardas75794         pavarde75794        5.40                
vardas75795         pavarde75795        5.40                
vardas75796         pavarde75796        5.40                
vardas75797         pavarde75797        5.40                
vardas75798         pavarde75798        5.40                
vardas75799         pavarde75799        5.40                
vardas75800         pavarde75800        5.40                
vardas75801         pavarde75801        5.40                
vardas75802         pavarde75802        5.40                
vardas75803         pavarde75803        5.40                
vardas75804         pavarde75804        5.40                
vardas75805         pavarde75805        5.40                
vardas83739         pavarde83739        5.40                
vardas75928         pavarde75928        5.40                
vardas63783         pavarde63783        5.40                
vardas63782         pavarde63782        5.40                
vardas63781         pavarde63781        5.40                
vardas63780         pavarde63780        5.40                
vardas63779         pavarde63779        5.40                
vardas63775         pavarde63775        5.40                
vardas63774         pavarde63774        5.40                
vardas63773         pavarde63773        5.40                
vardas63772         pavarde63772        5.40                
vardas63771         pavarde63771        5.40                
vardas63770         pavarde63770        5.40                
vardas63769         pavarde63769        5.40                
vardas63768         pavarde63768        5.40                
vardas75806         pavarde75806        5.40                
vardas80649         pavarde80649        5.40                
vardas80648         pavarde80648        5.40                
vardas80647         pavarde80647        5.40                
vardas80646         pavarde80646        5.40                
vardas80119         pavarde80119        5.40                
vardas63784         pavarde63784        5.40                
vardas63785         pavarde63785        5.40                
vardas63786         pavarde63786        5.40                
vardas261           pavarde261          5.40                
vardas262           pavarde262          5.40                
vardas263           pavarde263          5.40                
vardas264           pavarde264          5.40                
vardas265           pavarde265          5.40                
