PAZANGUS STUDENTAI
Vardas              Pavarde             Galutinis-vidurkis  
vardas22084         pavarde22084        5.20                
vardas22083         pavarde22083        5.20                
vardas56939         pavarde56939        5.20                
vardas97239         pavarde97239        5.20                
vardas22082         pavarde22082        5.20                
vardas22066         pavarde22066        5.20                
vardas87352         pavarde87352        5.20                
vardas97224         pavarde97224        5.20                
vardas97240         pavarde97240        5.20                
vardas97241         pavarde97241        5.20                
vardas97242         pavarde97242        5.20                
vardas97243         pavarde97243        5.20                
vardas87242         pavarde87242        5.20                
vardas87241         pavarde87241        5.20                
vardas97244         pavarde97244        5.20                
vardas87240         pavarde87240        5.20                
vardas87239         pavarde87239        5.20                
vardas21857         pavarde21857        5.20                
vardas56931         pavarde56931        5.20                
vardas21997         pavarde21997        5.20                
vardas22002         pavarde22002        5.20                
vardas80091         pavarde80091        5.20                
vardas21998         pavarde21998        5.20                
vardas56930         pavarde56930        5.20                
vardas21999         pavarde21999        5.20                
vardas97234         pavarde97234        5.20                
vardas97235         pavarde97235        5.20                
vardas97236         pavarde97236        5.20                
vardas22000         pavarde22000        5.20                
vardas22001         pavarde22001        5.20                
vardas65300         pavarde65300        5.20                
vardas22003         pavarde22003        5.20                
vardas97237         pavarde97237        5.20                
vardas97238         pavarde97238        5.20                
vardas56929         pavarde56929        5.20                
vardas22004         pavarde22004        5.20                
vardas22005         pavarde22005        5.20                
vardas80100         pavarde80100        5.20                
vardas80101         pavarde80101        5.20                
vardas97225         pavarde97225        5.20                
vardas21864         pavarde21864        5.20                
vardas97228         pavarde97228        5.20                
vardas97229         pavarde97229        5.20                
vardas97230         pavarde97230        5.20                
vardas21789         pavarde21789        5.20                
vardas21788         pavarde21788        5.20                
vardas4642          pavarde4642         5.20                
vardas4643          pavarde4643         5.20                
vardas4644          pavarde4644         5.20                
vardas22064         pavarde22064        5.20                
vardas21865         pavarde21865        5.20                
vardas97227         pavarde97227        5.20                
vardas21863         pavarde21863        5.20                
vardas97231         pavarde97231        5.20                
vardas97232         pavarde97232        5.20                
vardas21862         pavarde21862        5.20                
vardas21861         pavarde21861        5.20                
vardas21860         pavarde21860        5.20                
vardas97233         pavarde97233        5.20                
vardas66596         pavarde66596        5.20                
vardas66597         pavarde66597        5.20                
vardas66598         pavarde66598        5.20                
vardas21859         pavarde21859        5.20                
vardas87354         pavarde87354        5.20                
vardas87355         pavarde87355        5.20                
vardas56932         pavarde56932        5.20                
vardas56933         pavarde56933        5.20                
vardas56934         pavarde56934        5.20                
vardas56935         pavarde56935        5.20                
vardas56936         pavarde56936        5.20                
vardas56937         pavarde56937        5.20                
vardas56938         pavarde56938        5.20                
vardas21858         pavarde21858        5.20                
vardas87353         pavarde87353        5.20                
vardas22065         pavarde22065        5.20                
vardas21796         pavarde21796        5.20                
vardas21795         pavarde21795        5.20                
vardas21794         pavarde21794        5.20                
vardas21793         pavarde21793        5.20                
vardas21792         pavarde21792        5.20                
vardas21791         pavarde21791        5.20                
vardas21790         pavarde21790        5.20                
vardas56940         pavarde56940        5.20                
vardas97226         pavarde97226        5.20                
vardas21797         pavarde21797        5.20                
vardas56558         pavarde56558        5.20                
vardas22079         pavarde22079        5.20                
vardas22080         pavarde22080        5.20                
vardas22081         pavarde22081        5.20                
vardas56557         pavarde56557        5.20                
vardas56556         pavarde56556        5.20                
vardas56555         pavarde56555        5.20                
vardas56554         pavarde56554        5.20                
vardas56553         pavarde56553        5.20                
vardas21803         pavarde21803        5.20                
vardas21802         pavarde21802        5.20                
vardas21801         pavarde21801        5.20                
vardas21800         pavarde21800        5.20                
vardas21799         pavarde21799        5.20                
vardas21798         pavarde21798        5.20                
vardas56559         pavarde56559        5.20                
vardas80103         pavarde80103        5.20                
vardas80104         pavarde80104        5.20                
vardas80105         pavarde80105        5.20                
vardas80106         pavarde80106        5.20                
vardas80107         pavarde80107        5.20                
vardas80108         pavarde80108        5.20                
vardas80109         pavarde80109        5.20                
vardas80110         pavarde80110        5.20                
vardas80111         pavarde80111        5.20                
vardas56515         pavarde56515        5.20                
vardas56516         pavarde56516        5.20                
vardas56517         pavarde56517        5.20                
vardas56519         pavarde56519        5.20                
vardas56520         pavarde56520        5.20                
vardas4657          pavarde4657         5.20                
vardas56568         pavarde56568        5.20                
vardas22070         pavarde22070        5.20                
vardas22071         pavarde22071        5.20                
vardas22072         pavarde22072        5.20                
vardas22073         pavarde22073        5.20                
vardas22074         pavarde22074        5.20                
vardas22075         pavarde22075        5.20                
vardas22076         pavarde22076        5.20                
vardas22077         pavarde22077        5.20                
vardas22078         pavarde22078        5.20                
vardas21805         pavarde21805        5.20                
vardas21804         pavarde21804        5.20                
vardas56572         pavarde56572        5.20                
vardas56571         pavarde56571        5.20                
vardas56570         pavarde56570        5.20                
vardas56569         pavarde56569        5.20                
vardas56518         pavarde56518        5.20                
vardas56567         pavarde56567        5.20                
vardas56566         pavarde56566        5.20                
vardas56565         pavarde56565        5.20                
vardas56564         pavarde56564        5.20                
vardas56563         pavarde56563        5.20                
vardas56562         pavarde56562        5.20                
vardas22069         pavarde22069        5.20                
vardas80102         pavarde80102        5.20                
vardas22068         pavarde22068        5.20                
vardas22067         pavarde22067        5.20                
vardas21806         pavarde21806        5.20                
vardas21807         pavarde21807        5.20                
vardas56561         pavarde56561        5.20                
vardas56560         pavarde56560        5.20                
vardas66592         pavarde66592        5.20                
vardas66600         pavarde66600        5.20                
vardas87243         pavarde87243        5.20                
vardas66601         pavarde66601        5.20                
vardas66602         pavarde66602        5.20                
vardas66603         pavarde66603        5.20                
vardas66604         pavarde66604        5.20                
vardas80092         pavarde80092        5.20                
vardas80090         pavarde80090        5.20                
vardas4660          pavarde4660         5.20                
vardas4661          pavarde4661         5.20                
vardas4662          pavarde4662         5.20                
vardas4663          pavarde4663         5.20                
vardas87351         pavarde87351        5.20                
vardas66590         pavarde66590        5.20                
vardas66591         pavarde66591        5.20                
vardas21995         pavarde21995        5.20                
vardas66593         pavarde66593        5.20                
vardas66594         pavarde66594        5.20                
vardas66595         pavarde66595        5.20                
vardas21996         pavarde21996        5.20                
vardas4656          pavarde4656         5.20                
vardas4655          pavarde4655         5.20                
vardas4654          pavarde4654         5.20                
vardas4653          pavarde4653         5.20                
vardas4652          pavarde4652         5.20                
vardas4651          pavarde4651         5.20                
vardas4650          pavarde4650         5.20                
vardas4649          pavarde4649         5.20                
vardas4648          pavarde4648         5.20                
vardas4647          pavarde4647         5.20                
vardas4646          pavarde4646         5.20                
vardas87348         pavarde87348        5.20                
vardas22063         pavarde22063        5.20                
vardas22062         pavarde22062        5.20                
vardas80099         pavarde80099        5.20                
vardas80098         pavarde80098        5.20                
vardas80097         pavarde80097        5.20                
vardas80096         pavarde80096        5.20                
vardas80095         pavarde80095        5.20                
vardas80094         pavarde80094        5.20                
vardas80093         pavarde80093        5.20                
vardas66599         pavarde66599        5.20                
vardas21994         pavarde21994        5.20                
vardas87344         pavarde87344        5.20                
vardas87345         pavarde87345        5.20                
vardas87346         pavarde87346        5.20                
vardas87347         pavarde87347        5.20                
vardas4645          pavarde4645         5.20                
vardas87349         pavarde87349        5.20                
vardas87350         pavarde87350        5.20                
vardas4658          pavarde4658         5.20                
vardas4659          pavarde4659         5.20                
vardas66583         pavarde66583        5.20                
vardas66584         pavarde66584        5.20                
vardas66585         pavarde66585        5.20                
vardas66586         pavarde66586        5.20                
vardas66587         pavarde66587        5.20                
vardas66588         pavarde66588        5.20                
vardas21808         pavarde21808        5.20                
vardas21809         pavarde21809        5.20                
vardas21810         pavarde21810        5.20                
vardas66589         pavarde66589        5.20                
vardas20379         pavarde20379        5.20                
vardas20370         pavarde20370        5.20                
vardas20371         pavarde20371        5.20                
vardas20372         pavarde20372        5.20                
vardas20373         pavarde20373        5.20                
vardas20374         pavarde20374        5.20                
vardas20375         pavarde20375        5.20                
vardas20376         pavarde20376        5.20                
vardas20377         pavarde20377        5.20                
vardas20378         pavarde20378        5.20                
vardas20369         pavarde20369        5.20                
vardas20380         pavarde20380        5.20                
vardas20381         pavarde20381        5.20                
vardas20382         pavarde20382        5.20                
vardas20402         pavarde20402        5.20                
vardas20403         pavarde20403        5.20                
vardas20404         pavarde20404        5.20                
vardas20405         pavarde20405        5.20                
vardas20406         pavarde20406        5.20                
vardas34975         pavarde34975        5.20                
vardas34983         pavarde34983        5.20                
vardas34982         pavarde34982        5.20                
vardas34981         pavarde34981        5.20                
vardas34980         pavarde34980        5.20                
vardas34979         pavarde34979        5.20                
vardas34978         pavarde34978        5.20                
vardas34977         pavarde34977        5.20                
vardas34976         pavarde34976        5.20                
vardas55027         pavarde55027        5.20                
vardas34974         pavarde34974        5.20                
vardas20239         pavarde20239        5.20                
vardas20240         pavarde20240        5.20                
vardas20364         pavarde20364        5.20                
vardas20365         pavarde20365        5.20                
vardas20366         pavarde20366        5.20                
vardas20367         pavarde20367        5.20                
vardas20368         pavarde20368        5.20                
vardas20413         pavarde20413        5.20                
vardas55046         pavarde55046        5.20                
vardas55047         pavarde55047        5.20                
vardas55048         pavarde55048        5.20                
vardas20407         pavarde20407        5.20                
vardas20408         pavarde20408        5.20                
vardas20409         pavarde20409        5.20                
vardas20410         pavarde20410        5.20                
vardas20411         pavarde20411        5.20                
vardas20412         pavarde20412        5.20                
vardas55045         pavarde55045        5.20                
vardas20414         pavarde20414        5.20                
vardas20415         pavarde20415        5.20                
vardas20416         pavarde20416        5.20                
vardas20417         pavarde20417        5.20                
vardas20418         pavarde20418        5.20                
vardas20419         pavarde20419        5.20                
vardas20420         pavarde20420        5.20                
vardas20542         pavarde20542        5.20                
vardas55036         pavarde55036        5.20                
vardas55028         pavarde55028        5.20                
vardas55029         pavarde55029        5.20                
vardas55030         pavarde55030        5.20                
vardas55031         pavarde55031        5.20                
vardas55032         pavarde55032        5.20                
vardas55033         pavarde55033        5.20                
vardas55034         pavarde55034        5.20                
vardas55035         pavarde55035        5.20                
vardas34984         pavarde34984        5.20                
vardas55037         pavarde55037        5.20                
vardas55038         pavarde55038        5.20                
vardas55039         pavarde55039        5.20                
vardas55040         pavarde55040        5.20                
vardas55041         pavarde55041        5.20                
vardas55042         pavarde55042        5.20                
vardas55043         pavarde55043        5.20                
vardas55044         pavarde55044        5.20                
vardas20235         pavarde20235        5.20                
vardas35040         pavarde35040        5.20                
vardas20227         pavarde20227        5.20                
vardas20228         pavarde20228        5.20                
vardas20229         pavarde20229        5.20                
vardas20230         pavarde20230        5.20                
vardas20231         pavarde20231        5.20                
vardas20232         pavarde20232        5.20                
vardas20233         pavarde20233        5.20                
vardas20234         pavarde20234        5.20                
vardas35041         pavarde35041        5.20                
vardas20236         pavarde20236        5.20                
vardas20237         pavarde20237        5.20                
vardas20238         pavarde20238        5.20                
vardas34993         pavarde34993        5.20                
vardas34992         pavarde34992        5.20                
vardas34991         pavarde34991        5.20                
vardas5520          pavarde5520         5.20                
vardas5519          pavarde5519         5.20                
vardas35050         pavarde35050        5.20                
vardas5618          pavarde5618         5.20                
vardas5617          pavarde5617         5.20                
vardas5616          pavarde5616         5.20                
vardas5615          pavarde5615         5.20                
vardas5614          pavarde5614         5.20                
vardas5613          pavarde5613         5.20                
vardas35052         pavarde35052        5.20                
vardas35051         pavarde35051        5.20                
vardas5518          pavarde5518         5.20                
vardas35049         pavarde35049        5.20                
vardas35048         pavarde35048        5.20                
vardas35047         pavarde35047        5.20                
vardas35046         pavarde35046        5.20                
vardas35045         pavarde35045        5.20                
