PAZANGUS STUDENTAI
Vardas              Pavarde             Galutinis-vidurkis  
vardas2957          pavarde2957         1.80                
vardas2948          pavarde2948         1.80                
vardas2949          pavarde2949         1.80                
vardas2950          pavarde2950         1.80                
vardas2951          pavarde2951         1.80                
vardas2952          pavarde2952         1.80                
vardas2953          pavarde2953         1.80                
vardas2954          pavarde2954         1.80                
vardas2955          pavarde2955         1.80                
vardas2956          pavarde2956         1.80                
vardas2947          pavarde2947         1.80                
vardas2958          pavarde2958         1.80                
vardas2959          pavarde2959         1.80                
vardas2960          pavarde2960         1.80                
vardas2961          pavarde2961         1.80                
vardas2962          pavarde2962         1.80                
vardas2963          pavarde2963         1.80                
vardas2964          pavarde2964         1.80                
vardas2965          pavarde2965         1.80                
vardas2938          pavarde2938         1.80                
vardas2930          pavarde2930         1.80                
vardas2931          pavarde2931         1.80                
vardas2932          pavarde2932         1.80                
vardas2933          pavarde2933         1.80                
vardas2934          pavarde2934         1.80                
vardas2935          pavarde2935         1.80                
vardas2936          pavarde2936         1.80                
vardas2937          pavarde2937         1.80                
vardas2966          pavarde2966         1.80                
vardas2939          pavarde2939         1.80                
vardas2940          pavarde2940         1.80                
vardas2941          pavarde2941         1.80                
vardas2942          pavarde2942         1.80                
vardas2943          pavarde2943         1.80                
vardas2944          pavarde2944         1.80                
vardas2945          pavarde2945         1.80                
vardas2946          pavarde2946         1.80                
vardas5877          pavarde5877         1.80                
vardas3700          pavarde3700         1.80                
vardas3701          pavarde3701         1.80                
vardas3702          pavarde3702         1.80                
vardas3703          pavarde3703         1.80                
vardas3704          pavarde3704         1.80                
vardas3705          pavarde3705         1.80                
vardas3706          pavarde3706         1.80                
vardas5879          pavarde5879         1.80                
vardas5878          pavarde5878         1.80                
vardas3699          pavarde3699         1.80                
vardas5876          pavarde5876         1.80                
vardas5875          pavarde5875         1.80                
vardas5874          pavarde5874         1.80                
vardas5873          pavarde5873         1.80                
vardas5872          pavarde5872         1.80                
vardas5871          pavarde5871         1.80                
vardas5870          pavarde5870         1.80                
vardas5869          pavarde5869         1.80                
vardas3480          pavarde3480         1.80                
vardas2967          pavarde2967         1.80                
vardas2968          pavarde2968         1.80                
vardas3474          pavarde3474         1.80                
vardas3475          pavarde3475         1.80                
vardas3476          pavarde3476         1.80                
vardas3477          pavarde3477         1.80                
vardas3478          pavarde3478         1.80                
vardas3479          pavarde3479         1.80                
vardas2929          pavarde2929         1.80                
vardas3481          pavarde3481         1.80                
vardas3482          pavarde3482         1.80                
vardas3483          pavarde3483         1.80                
vardas3484          pavarde3484         1.80                
vardas3485          pavarde3485         1.80                
vardas3696          pavarde3696         1.80                
vardas3697          pavarde3697         1.80                
vardas3698          pavarde3698         1.80                
vardas2883          pavarde2883         1.80                
vardas2874          pavarde2874         1.80                
vardas2875          pavarde2875         1.80                
vardas2876          pavarde2876         1.80                
vardas2877          pavarde2877         1.80                
vardas2878          pavarde2878         1.80                
